parent,name,scientific,rank,image_url
Stachelschweine,Gewöhnliches Stachelschwein,Hystrix cristata,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/Westafrikanisches_Stachelschwein.jpg/100px-Westafrikanisches_Stachelschwein.jpg
Stachelschweinverwandte,Heterocephalidae,Heterocephalidae,Familie,https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Nacktmull.jpg/100px-Nacktmull.jpg
Heterocephalidae,Nacktmull,Heterocephalus glaber,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Nacktmull.jpg/100px-Nacktmull.jpg
Stachelschweinverwandte,Cuniculidae,Cuniculidae,Familie,https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Cuniculus_paca.jpg/100px-Cuniculus_paca.jpg
Cuniculidae,Paka,Cuniculus paca,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ee/Brazilian_Paca.JPG/100px-Brazilian_Paca.JPG
Stachelschweinverwandte,Meerschweinchen,Caviidae,Familie,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Wildmeerschweinchen-06.jpg/100px-Wildmeerschweinchen-06.jpg
Meerschweinchen,Echte Meerschweinchen,Cavia,Gattung,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Wildmeerschweinchen-06.jpg/100px-Wildmeerschweinchen-06.jpg
Echte Meerschweinchen,Hausmeerschweinchen,Cavia porcellus,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Meerschweinchen_2.jpg/100px-Meerschweinchen_2.jpg
Echte Meerschweinchen,Gemeines Meerschweinchen,Cavia aperea,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Wildmeerschweinchen-06.jpg/100px-Wildmeerschweinchen-06.jpg
Meerschweinchen,Wasserschwein,Hydrochoerus hydrochaeris,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Bristol.zoo.capybara.arp.jpg/100px-Bristol.zoo.capybara.arp.jpg
Stachelschweinverwandte,Trugratten,Octodontidae,Familie,https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/Octodon_degus_-Artis_Zoo%2C_Netherlands-8c.jpg/100px-Octodon_degus_-Artis_Zoo%2C_Netherlands-8c.jpg
