parent,name,scientific,rank,image_url
,Lebewesen,,Lebewesen,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Eukaryota_diversity_2.jpg/100px-Eukaryota_diversity_2.jpg
Lebewesen,Eukaryoten,Eukaryota,Domäne,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Eukaryota_diversity_2.jpg/100px-Eukaryota_diversity_2.jpg
Eukaryoten,Tiere,Animalia,Reich,https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Animal_diversity.png/100px-Animal_diversity.png
Tiere,Stachelhäuter,Echinodermata,Stamm,https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Echinodermata.png/120px-Echinodermata.png
Stachelhäuter,Seelilien und Haarsterne,Crinoidea,Klasse,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Crinoid_in_West_Rota_caldera_%28expl0043_5114735036%29.jpg/120px-Crinoid_in_West_Rota_caldera_%28expl0043_5114735036%29.jpg
Seelilien und Haarsterne,Haarsterne,Comatulida,Ordnung,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Comanthia_schlegeli_%28Feather_star%29.jpg/120px-Comanthia_schlegeli_%28Feather_star%29.jpg
Haarsterne,Mittelmeer-Haarstern,Antedon mediterranea,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Antedon_mediterranea.jpg/120px-Antedon_mediterranea.jpg
Haarsterne,Comaster,Comaster,Gattung,not_found
Comaster,Schlegels Haarstern,Comaster schlegelii,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Comanthina_schlegeli_Variable_Bushy_Feather_Star.jpg/120px-Comanthina_schlegeli_Variable_Bushy_Feather_Star.jpg
Comaster,Edel-Haarstern,Comaster nobilis,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Comanthina_nobilis_%28Feather_star%29_on_Callyspongia_sp._%28Elephant_ear_sponge%29.jpg/120px-Comanthina_nobilis_%28Feather_star%29_on_Callyspongia_sp._%28Elephant_ear_sponge%29.jpg
Stachelhäuter,Seesterne,Asteroidea,Klasse,https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Astropecten_aranciacus_in_Tenerife.jpg/120px-Astropecten_aranciacus_in_Tenerife.jpg
Seesterne,Zangensterne,Forcipulatida,Ordnung,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Starfish%2C_Oregon_coast.jpg/120px-Starfish%2C_Oregon_coast.jpg
Zangensterne,Asteriidae,Asteriidae,Familie,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/Asterias_rubens.jpg/120px-Asterias_rubens.jpg
Asteriidae,Gemeiner Seestern,Asterias rubens,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/Asterias_rubens.jpg/120px-Asterias_rubens.jpg
Asteriidae,Sonnenblumen-Seestern,Pycnopodia helianthoides,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Sun_flower_sea_star_in_tide_pools.jpg/120px-Sun_flower_sea_star_in_tide_pools.jpg
Asteriidae,Pisaster giganteus,Pisaster giganteus,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Sandstar_300.jpg/120px-Sandstar_300.jpg
Asteriidae,Eisseestern,Marthasterias glacialis,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Estrella_espinosa_com%C3%BAn_%28Marthasterias_glacialis%29%2C_Madeira%2C_Portugal%2C_2019-05-31%2C_DD_57.jpg/120px-Estrella_espinosa_com%C3%BAn_%28Marthasterias_glacialis%29%2C_Madeira%2C_Portugal%2C_2019-05-31%2C_DD_57.jpg
Seesterne,Stachelsterne,Spinulosida,Ordnung,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Bloodstar_300.jpg/120px-Bloodstar_300.jpg
Seesterne,Klappensterne,Valvatida,Ordnung,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Mediaster_aequalis_on_glass.jpg/120px-Mediaster_aequalis_on_glass.jpg
Klappensterne,Acanthasteridae,Acanthasteridae,Familie,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/CrownofThornsStarfish_Fiji_2005-10-12.jpg/120px-CrownofThornsStarfish_Fiji_2005-10-12.jpg
Acanthasteridae,Dornenkronenseestern,Acanthaster planci,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/CrownofThornsStarfish_Fiji_2005-10-12.jpg/120px-CrownofThornsStarfish_Fiji_2005-10-12.jpg
Klappensterne,"Walzen-, Kissen- und Noppen-Seesterne",Oreasteridae,Familie,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Choriaster_granulatus.jpg/120px-Choriaster_granulatus.jpg
"Walzen-, Kissen- und Noppen-Seesterne",Schokoladen-Seestern,Nidorellia armata,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Chocolate_Chip_Starfish.jpg/120px-Chocolate_Chip_Starfish.jpg
"Walzen-, Kissen- und Noppen-Seesterne",Walzenseestern,Choriaster granulatus,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Choriaster_granulatus.jpg/120px-Choriaster_granulatus.jpg
"Walzen-, Kissen- und Noppen-Seesterne",Grosser Kissenstern,Culcita novaeguineae,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Culcita_novaeguineae.JPG/120px-Culcita_novaeguineae.JPG
"Walzen-, Kissen- und Noppen-Seesterne",Genetzster Kissenstern,Oreaster reticulatus,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Starfish.JPG/120px-Starfish.JPG
"Walzen-, Kissen- und Noppen-Seesterne",Panamischer Noppen-Seestern,Pentaceraster cumingi,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/Star_Attraction.jpg/120px-Star_Attraction.jpg
"Walzen-, Kissen- und Noppen-Seesterne",Lincks Walzenseestern,Protoreaster linckii,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Asteroidea_01.jpg/120px-Asteroidea_01.jpg
Klappensterne,Sonnensterne,Solasteridae,Familie,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Crossaster_papposus_-_Oslo_Zoological_Museum_-_IMG_9093.jpg/120px-Crossaster_papposus_-_Oslo_Zoological_Museum_-_IMG_9093.jpg
Sonnensterne,Gemeinser Sonnenstern,Crossaster papposus,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Crossaster_papposus_0792.jpg/120px-Crossaster_papposus_0792.jpg
Sonnensterne,Gelber Sonnenstern,Solaster endeca,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/Ecomare_-_zeester_Solaster_endeca_%28solaster-endeca-3228-ogb%29.jpg/120px-Ecomare_-_zeester_Solaster_endeca_%28solaster-endeca-3228-ogb%29.jpg
Sonnensterne,Stimpsons Sonnenstern,Solaster stimpsoni,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Striped_Sun_Star002.jpg/120px-Striped_Sun_Star002.jpg
Klappensterne,Ophidiasteridae,Ophidiasteridae,Familie,not_found
Ophidiasteridae,Blauer Seestern,Linckia laevigata,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/BlueSeaStar_2.jpg/120px-BlueSeaStar_2.jpg
Seesterne,Paxillensterne,Paxillosida,Ordnung,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Nine-armed_Sea_Star_%28Luidia_senegalensis%29_%284338628827%29.jpg/120px-Nine-armed_Sea_Star_%28Luidia_senegalensis%29_%284338628827%29.jpg
Paxillensterne,Roter Kammstern,Astropecten aranciacus,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Astropecten_aranciacus_Sardegna09_28cm_5520.jpg/120px-Astropecten_aranciacus_Sardegna09_28cm_5520.jpg
Paxillensterne,Astropecten articulatus,Astropecten articulatus,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Purple_and_Orange_Starfish_on_the_Beach_%282884079538%29.jpg/100px-Purple_and_Orange_Starfish_on_the_Beach_%282884079538%29.jpg
Seesterne,Peripodida,Peripodida,Ordnung,not_found
Peripodida,Seegänseblümchen,Xyloplax,Gattung,https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Xyloplax_janetae.jpg/120px-Xyloplax_janetae.jpg
Stachelhäuter,Schlangensterne,Ophiuroidea,Klasse,https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/Greenbrittlestar.jpg/120px-Greenbrittlestar.jpg
Schlangensterne,Ophiurida,Ophiurida,Ordnung,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Ophiura_ophiura.jpg/120px-Ophiura_ophiura.jpg
Ophiurida,Ophiura,Ophiura,Gattung,not_found
Ophiura,Gewöhnlicher Schlangenstern,Ophiura ophiura,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Gew%C3%B6hnlicherSchlangenstern.jpg/120px-Gew%C3%B6hnlicherSchlangenstern.jpg
Ophiura,Heller Schlangenstern,Ophiura albida,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/Ophiura_albida_-_Heller_Schlangenstern.jpg/120px-Ophiura_albida_-_Heller_Schlangenstern.jpg
Ophiurida,Olivgrüner Schlangenstern,Ophiarachna incrassata,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/Greenbrittlestar.jpg/120px-Greenbrittlestar.jpg
Ophiurida,Gebänderter Schlangenstern,Ophiolepis superba,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/Ophiolepis_superba_1.JPG/120px-Ophiolepis_superba_1.JPG
Ophiurida,Zerbrechlicher Schlangenstern,Ophiothrix fragilis,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Ophiothrix-fragilis_4338.jpg/120px-Ophiothrix-fragilis_4338.jpg
Ophiurida,Langarmiger Schlangenstern,Amphiodia occidentalis,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/Long-armed_Brittle_Star_%28Amphiodia_occidentalis%29.jpg/100px-Long-armed_Brittle_Star_%28Amphiodia_occidentalis%29.jpg
Schlangensterne,Phyrynophiurida,Phyrynophiurida,Ordnung,not_found
Phyrynophiurida,Gorgonenhäupter,Gorgonocephalidae,Familie,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Gorgeucnemis.jpeg/120px-Gorgeucnemis.jpeg
Gorgonenhäupter,Astrophyton muricatum,Astrophyton muricatum,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Astrophyton_muricatum_211218_a.jpg/120px-Astrophyton_muricatum_211218_a.jpg
Stachelhäuter,Seewalzen,Holothuroidea,Klasse,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/Synapta_maculata_%26_Holothuria_leucospilota.jpg/120px-Synapta_maculata_%26_Holothuria_leucospilota.jpg
Seewalzen,Apodida,Apodida,Ordnung,https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/Conspicuous_Sea_Cucumber%2C_Coconut_Island%2C_Hawaii.JPG/120px-Conspicuous_Sea_Cucumber%2C_Coconut_Island%2C_Hawaii.JPG
Apodida,Wurmseegurken,Synaptidae,Familie,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Wurmseegurke.jpg/120px-Wurmseegurke.jpg
Wurmseegurken,Gefleckte Wurmseegurke,Synapta maculata,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Synapta_maculata_2.jpg/120px-Synapta_maculata_2.jpg
Wurmseegurken,Rotring-Wurmseegurke,Opheodesoma spectabilis,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/Conspicuous_Sea_Cucumber%2C_Coconut_Island%2C_Hawaii.JPG/120px-Conspicuous_Sea_Cucumber%2C_Coconut_Island%2C_Hawaii.JPG
Seewalzen,Schildtentakel-Seewalzen,Aspidochirotida,Ordnung,https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Parastichopus_californicus.jpg/120px-Parastichopus_californicus.jpg
Schildtentakel-Seewalzen,Marmorierte Seegurke,Bohadschia marmorata,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Bohadschia_marmorata.png/120px-Bohadschia_marmorata.png
Schildtentakel-Seewalzen,Holothuria,Holothuria,Gattung,not_found
Holothuria,Forskals Seewalze,Holothuria forskali,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Holothuria_sanctori%2C_Balie%2C_Crete%2C_Greece_-_20070601.jpg/120px-Holothuria_sanctori%2C_Balie%2C_Crete%2C_Greece_-_20070601.jpg
Holothuria,Weissgefleckte Seegurke,Holothuria leucospilota,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Holothuria_leucospilota_2.jpg/120px-Holothuria_leucospilota_2.jpg
Holothuria,Weissspitzen-Seegurke,Holothuria poli,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Holothuria_poli_Rab2011_c_4152.JPG/120px-Holothuria_poli_Rab2011_c_4152.JPG
Schildtentakel-Seewalzen,Variable Seegurke,Isostichopus badionotus,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Three-Rowed_Sea_Cucumber.jpg/120px-Three-Rowed_Sea_Cucumber.jpg
Schildtentakel-Seewalzen,Stichopus,Stichopus,Gattung,not_found
Stichopus,Königsseegurke,Stichopus regalis,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Holothuria_cf_arguinensis.jpg/120px-Holothuria_cf_arguinensis.jpg
Stichopus,Grüne Zahnrad-Seewalze,Stichopus chloronotus,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Stichopus_chloronotus.jpg/120px-Stichopus_chloronotus.jpg
Schildtentakel-Seewalzen,Ananas-Seewalze,Thelenota ananas,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/8/86/Thelenota_ananas.jpg/120px-Thelenota_ananas.jpg
Schildtentakel-Seewalzen,Gestrichelte Seegurke,Pearsonothuria graeffei,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Pearsonothuria_graeffei_Landaagiraavaru.JPG/120px-Pearsonothuria_graeffei_Landaagiraavaru.JPG
Seewalzen,Elasipodida,Elasipodida,Ordnung,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Enypniastes_sp.jpg/120px-Enypniastes_sp.jpg
Elasipodida,Kopfloses Hühnermonster,Enypniastes eximia,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Enypniastes_sp_Indonesia.jpg/100px-Enypniastes_sp_Indonesia.jpg
Seewalzen,Buschtentakel-Seewalzen,Dendrochirotida,Ordnung,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Cucumaria_miniata.jpg/120px-Cucumaria_miniata.jpg
Buschtentakel-Seewalzen,Seeäpfel,Pseudocolochirus,Gattung,https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Pseudocolochirus_axiologus.jpg/120px-Pseudocolochirus_axiologus.jpg
Stachelhäuter,Seeigel,Echinoidea,Klasse,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Tripneustes_ventricosus_%28West_Indian_Sea_Egg-top%29_and_Echinometra_viridis_%28Reef_Urchin_-_bottom%29.jpg/120px-Tripneustes_ventricosus_%28West_Indian_Sea_Egg-top%29_and_Echinometra_viridis_%28Reef_Urchin_-_bottom%29.jpg
Seeigel,Lederseeigel,Echinothurioida,Ordnung,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Toxic_Leather_Sea_Urchin_-_Asthenosoma_marisrubri.jpg/120px-Toxic_Leather_Sea_Urchin_-_Asthenosoma_marisrubri.jpg
Lederseeigel,Rotmeer-Feuerseeigel,Asthenosoma marisrubri,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Toxic_Leather_Sea_Urchin_-_Asthenosoma_marisrubri.jpg/100px-Toxic_Leather_Sea_Urchin_-_Asthenosoma_marisrubri.jpg
Seeigel,Diadematoida,Diadematoida,Ordnung,not_found
Diadematoida,Diademseeigel,Diadematidae,Familie,https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Diadema_setosum_2228x2252.png/120px-Diadema_setosum_2228x2252.png
Diademseeigel,Roter Diademseeigel,Astropyga radiata,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Astropyga_radiata_group.JPG/120px-Astropyga_radiata_group.JPG
Diademseeigel,Diadema,Diadema,Gattung,not_found
Diadema,Atlantischer Diademseeigel,Diadema antillarum,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Diadema_antillarum_Flower_Garden_Banks.jpg/120px-Diadema_antillarum_Flower_Garden_Banks.jpg
Diadema,Gewöhnlicher Diademseeigel,Diadema setosum,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Diadema_setosum_Oman.JPG/120px-Diadema_setosum_Oman.JPG
Diademseeigel,Kalmar-Diademseeigel,Echinothrix calamaris,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/SeaDSC01286.JPG/100px-SeaDSC01286.JPG
Seeigel,Echte Seeigel,Echinoida,Ordnung,https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Seaurchin_300.jpg/120px-Seaurchin_300.jpg
Echte Seeigel,Bohr- und Griffelseeigel,Echinometridae,Familie,https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Red_pencil_urchin_-_Papah%C4%81naumoku%C4%81kea.jpg/120px-Red_pencil_urchin_-_Papah%C4%81naumoku%C4%81kea.jpg
Bohr- und Griffelseeigel,Griffelseeigel,Heterocentrotus mammillatus,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Heterocentrotus_mammillatus_%28Slate_pencil_urchin%29.jpg/120px-Heterocentrotus_mammillatus_%28Slate_pencil_urchin%29.jpg
Bohr- und Griffelseeigel,Karibischer Bohrseeigel,Echinometra lucunter,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Echinometra_lucunter.jpg/120px-Echinometra_lucunter.jpg
Bohr- und Griffelseeigel,Schild-Seeigel,Colobocentrotus atratus,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/Shingle_urchin.JPG/100px-Shingle_urchin.JPG
Seeigel,Camarodonta,Camarodonta,Ordnung,not_found
Camarodonta,Echinidae,Echinidae,Familie,not_found
Echinidae,Essbarer Seeigel,Echinus esculentus,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Echinus_esculentus_Koster.jpg/120px-Echinus_esculentus_Koster.jpg
Echinidae,Strandseeigel,Psammechinus miliaris,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Psammechinus_miliaris.jpg/120px-Psammechinus_miliaris.jpg
Camarodonta,Parechinidae,Parechinidae,Familie,not_found
Parechinidae,Steinseeigel,Paracentrotus lividus,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/Ocean%C3%A1rio_de_Lisboa_%2810%29_-_Mar_2010.jpg/120px-Ocean%C3%A1rio_de_Lisboa_%2810%29_-_Mar_2010.jpg
Camarodonta,Toxopneustidae,Toxopneustidae,Familie,not_found
Toxopneustidae,Violetter Seeigel,Sphaerechinus granularis,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Erizo_de_mar_viol%C3%A1ceo_%28Sphaerechinus_granularis%29%2C_Madeira%2C_Portugal%2C_2019-05-31%2C_DD_40.jpg/120px-Erizo_de_mar_viol%C3%A1ceo_%28Sphaerechinus_granularis%29%2C_Madeira%2C_Portugal%2C_2019-05-31%2C_DD_40.jpg
Seeigel,Herzigel,Spatangoida,Ordnung,https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Spatangus_purpureus.jpg/120px-Spatangus_purpureus.jpg
Herzigel,Kleiner Herzigel,Echinocardium cordatum,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Echinocardium_cordatum.jpg/120px-Echinocardium_cordatum.jpg
Seeigel,Sanddollars,Clypeasteroida,Ordnung,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/Clypeaster_reticulatus.jpg/120px-Clypeaster_reticulatus.jpg
Sanddollars,Zwergseeigel,Echinocyamus pusillus,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/Echinocyamus_pusillus.jpg/120px-Echinocyamus_pusillus.jpg
Seeigel,Cidaroida,Cidaroida,Ordnung,not_found
Cidaroida,Lanzenseeigel,Cidaridae,Familie,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Eucidaris_tribuloides_%28Slate-pencil_Urchin%29.jpg/120px-Eucidaris_tribuloides_%28Slate-pencil_Urchin%29.jpg
Seeigel,Arbacioida,Arbacioida,Ordnung,not_found
Arbacioida,Schwarzer Seeigel,Arbacia lixula,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Arbacia_lixula_am_Mittelmeer.jpg/120px-Arbacia_lixula_am_Mittelmeer.jpg
Tiere,Gliederfüsser,Arthropoda,Stamm,https://upload.wikimedia.org/wikipedia/commons/thumb/8/80/Arthropoda.jpg/120px-Arthropoda.jpg
Gliederfüsser,Krebstiere,Crustacea,Unterstamm,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Crustacea.jpg/120px-Crustacea.jpg
Gliederfüsser,Sechsfüsser,Hexapoda,Unterstamm,https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/Apis_mellifera_-_Prunus_padus_-_Keila.jpg/120px-Apis_mellifera_-_Prunus_padus_-_Keila.jpg
Gliederfüsser,Kieferklauenträger,Chelicerata,Unterstamm,https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Marpissa_muscosa_front_%28aka%29.jpg/120px-Marpissa_muscosa_front_%28aka%29.jpg
Kieferklauenträger,Asselspinnen,Pycnogonida,Ordnung,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/Pycnogonid.jpg/120px-Pycnogonid.jpg
Asselspinnen,Knotige Asselspinne,Pycnogonum litorale,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Pycnogonum_litorale_%28dorsal%29.jpg/120px-Pycnogonum_litorale_%28dorsal%29.jpg
Asselspinnen,Zierliche Asselspinne,Nymphon rubrum,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Pycnogonida_Nymphon_s_Sars.png/120px-Pycnogonida_Nymphon_s_Sars.png
Asselspinnen,Nymphon maculatum,Nymphon maculatum,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Nymphon_maculatum_2011-721_%281%29_%28cropped%29.jpg/330px-Nymphon_maculatum_2011-721_%281%29_%28cropped%29.jpg
Asselspinnen,Pseudopallene pachycheira,Pseudopallene pachycheira,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Pseudopallene_pachycheira.jpeg/100px-Pseudopallene_pachycheira.jpeg
Kieferklauenträger,Spinnentiere,Arachnida,Klasse,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Araneus_quadratus_070825.jpg/120px-Araneus_quadratus_070825.jpg
Spinnentiere,Milben,Acari,Unterklasse,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Peacock_mite%2C_Tuckerella_sp.jpg/120px-Peacock_mite%2C_Tuckerella_sp.jpg
Milben,Trombidiformes,Trombidiformes,Ordnung,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Trombidium_holosericeum_%28aka%29.jpg/120px-Trombidium_holosericeum_%28aka%29.jpg
Trombidiformes,Gallmilben,Eriophyidae,Familie,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Eriophyes_tilae_tilae_detail.JPG/120px-Eriophyes_tilae_tilae_detail.JPG
Gallmilben,Ahorn-Gallmilbe,Aceria macrorhynchus,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/Sycamore_leaf_with_galls_and_tar_spot_fungus_-_geograph.org.uk_-_919089.jpg/120px-Sycamore_leaf_with_galls_and_tar_spot_fungus_-_geograph.org.uk_-_919089.jpg
Gallmilben,Apfelrostmilbe,Aculus schlechtendali,Art,not_found
Gallmilben,Lindengallmilbe,Eriophyes tiliae,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Galle_Lindengallmilbe_Eriophyes_tiliae.JPG/120px-Galle_Lindengallmilbe_Eriophyes_tiliae.JPG
Trombidiformes,Rote Samtmilbe,Trombidium holosericeum,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/Trombidium_holosericeum_LC0127.jpg/120px-Trombidium_holosericeum_LC0127.jpg
Milben,Mesostigmata,Mesostigmata,Ordnung,not_found
Mesostigmata,Varroamilbe,Varroa destructor,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Varroamilbe.jpg/120px-Varroamilbe.jpg
Mesostigmata,Gemeine Käfermilbe,Parasitus coleoptratum,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Ruhland%2C_Grenzstr.%2C_Kompostgrube_am_Wald_hinter_Hausnr._3%2C_Waldmistk%C3%A4fer_mit_Milben%2C_Fr%C3%BChling%2C_01.jpg/120px-Ruhland%2C_Grenzstr.%2C_Kompostgrube_am_Wald_hinter_Hausnr._3%2C_Waldmistk%C3%A4fer_mit_Milben%2C_Fr%C3%BChling%2C_01.jpg
Milben,Sarcoptiformes,Sarcoptiformes,Ordnung,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Sarcoptes_scabei_2.jpg/120px-Sarcoptes_scabei_2.jpg
Sarcoptiformes,Hausstaubmilben,Dermatophagoides,Gattung,https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/House_Dust_Mite.jpg/120px-House_Dust_Mite.jpg
Sarcoptiformes,Grabmilben,Sarcoptes,Gattung,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Sarcoptes_scabei_2.jpg/120px-Sarcoptes_scabei_2.jpg
Grabmilben,Milzbrand-Milbe,Sarcoptes anthracis,Art,not_found
Grabmilben,Krätzemilbe,Sarcoptes scabiei,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Sarcoptes_scabei_2.jpg/120px-Sarcoptes_scabei_2.jpg
Milben,Zecken,Ixodida,Ordnung,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Ixodes_hexagonus_%28aka%29.jpg/120px-Ixodes_hexagonus_%28aka%29.jpg
Zecken,Lederzecken,Argasidae,Familie,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Argas_reflexus.jpg/120px-Argas_reflexus.jpg
Lederzecken,Taubenzecke,Argas reflexus,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Argas_reflexus.jpg/120px-Argas_reflexus.jpg
Zecken,Schildzecken,Ixodidae,Familie,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Ixodes_hexagonus_%28aka%29.jpg/120px-Ixodes_hexagonus_%28aka%29.jpg
Schildzecken,Ixodes,Ixodes,Gattung,https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Ixodus_ricinus_5x.jpg/120px-Ixodus_ricinus_5x.jpg
Ixodes,Gemeiner Holzbock,Ixodes ricinus,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Ixodes_ricinus_on_dry_grass.jpg/120px-Ixodes_ricinus_on_dry_grass.jpg
Ixodes,Hirschzecke,Ixodes scapularis,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Adult_deer_tick.jpg/120px-Adult_deer_tick.jpg
Ixodes,Igelzecke,Ixodes hexagonus,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Ixodes_hexagonus_%28aka%29.jpg/120px-Ixodes_hexagonus_%28aka%29.jpg
Ixodes,Fuchszecke,Ixodes canisuga,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/Ixodes_canisuga_109056782.jpg/120px-Ixodes_canisuga_109056782.jpg
